Properties at Lat: -43.500000 Lon: 172.500000
Depth 	 Vp 	 Vs 	 Rho
99.500000 	 1.800000 	 0.500000 	 1.700000
98.500000 	 1.800000 	 0.500000 	 1.700000
97.500000 	 1.800000 	 0.500000 	 1.700000
96.500000 	 1.800000 	 0.500000 	 1.700000
95.500000 	 1.800000 	 0.500000 	 1.700000
94.500000 	 1.800000 	 0.500000 	 1.700000
93.500000 	 1.800000 	 0.500000 	 1.700000
92.500000 	 1.800000 	 0.500000 	 1.700000
91.500000 	 1.800000 	 0.500000 	 1.700000
90.500000 	 1.800000 	 0.500000 	 1.700000
89.500000 	 1.800000 	 0.500000 	 1.700000
88.500000 	 1.800000 	 0.500000 	 1.700000
87.500000 	 1.800000 	 0.500000 	 1.700000
86.500000 	 1.800000 	 0.500000 	 1.700000
85.500000 	 1.800000 	 0.500000 	 1.700000
84.500000 	 1.800000 	 0.500000 	 1.700000
83.500000 	 1.800000 	 0.500000 	 1.700000
82.500000 	 1.800000 	 0.500000 	 1.700000
81.500000 	 1.800000 	 0.500000 	 1.700000
80.500000 	 1.800000 	 0.500000 	 1.700000
79.500000 	 1.800000 	 0.500000 	 1.700000
78.500000 	 1.800000 	 0.500000 	 1.700000
77.500000 	 1.800000 	 0.500000 	 1.700000
76.500000 	 1.800000 	 0.500000 	 1.700000
75.500000 	 1.800000 	 0.500000 	 1.700000
74.500000 	 1.800000 	 0.500000 	 1.700000
73.500000 	 1.800000 	 0.500000 	 1.700000
72.500000 	 1.800000 	 0.500000 	 1.700000
71.500000 	 1.800000 	 0.500000 	 1.700000
70.500000 	 1.800000 	 0.500000 	 1.700000
69.500000 	 1.800000 	 0.500000 	 1.700000
68.500000 	 1.800000 	 0.500000 	 1.700000
67.500000 	 1.800000 	 0.500000 	 1.700000
66.500000 	 1.800000 	 0.500000 	 1.700000
65.500000 	 1.800000 	 0.500000 	 1.700000
64.500000 	 1.800000 	 0.500000 	 1.700000
63.500000 	 1.800000 	 0.500000 	 1.700000
62.500000 	 1.800000 	 0.500000 	 1.700000
61.500000 	 1.800000 	 0.500000 	 1.700000
60.500000 	 1.800000 	 0.500000 	 1.700000
59.500000 	 1.800000 	 0.500000 	 1.700000
58.500000 	 1.800000 	 0.500000 	 1.700000
57.500000 	 1.800000 	 0.500000 	 1.700000
56.500000 	 1.800000 	 0.500000 	 1.700000
55.500000 	 1.800000 	 0.500000 	 1.700000
54.500000 	 1.800000 	 0.500000 	 1.700000
53.500000 	 1.800000 	 0.500000 	 1.700000
52.500000 	 1.800000 	 0.500000 	 1.700000
51.500000 	 1.800000 	 0.500000 	 1.700000
50.500000 	 1.800000 	 0.500000 	 1.700000
49.500000 	 1.800000 	 0.500000 	 1.700000
48.500000 	 1.800000 	 0.500000 	 1.700000
47.500000 	 1.800000 	 0.500000 	 1.700000
46.500000 	 1.800000 	 0.500000 	 1.700000
45.500000 	 1.800000 	 0.500000 	 1.700000
44.500000 	 1.800000 	 0.500000 	 1.700000
43.500000 	 1.800000 	 0.500000 	 1.700000
42.500000 	 1.800000 	 0.500000 	 1.700000
41.500000 	 1.800000 	 0.500000 	 1.700000
40.500000 	 1.800000 	 0.500000 	 1.700000
39.500000 	 1.800000 	 0.500000 	 1.700000
38.500000 	 1.800000 	 0.500000 	 1.700000
37.500000 	 1.800000 	 0.500000 	 1.700000
36.500000 	 1.800000 	 0.500000 	 1.700000
35.500000 	 1.800000 	 0.500000 	 1.700000
34.500000 	 1.800000 	 0.500000 	 1.700000
33.500000 	 1.800000 	 0.500000 	 1.700000
32.500000 	 1.800000 	 0.500000 	 1.700000
31.500000 	 1.800000 	 0.500000 	 1.700000
30.500000 	 1.800000 	 0.500000 	 1.700000
29.500000 	 1.800000 	 0.500000 	 1.700000
28.500000 	 1.800000 	 0.500000 	 1.700000
27.500000 	 1.800000 	 0.500000 	 1.700000
26.500000 	 1.800000 	 0.500000 	 1.700000
25.500000 	 1.800000 	 0.500000 	 1.700000
24.500000 	 1.800000 	 0.500000 	 1.700000
23.500000 	 1.800000 	 0.500000 	 1.700000
22.500000 	 1.800000 	 0.500000 	 1.700000
21.500000 	 1.800000 	 0.500000 	 1.700000
20.500000 	 1.800000 	 0.500000 	 1.700000
19.500000 	 1.800000 	 0.500000 	 1.700000
18.500000 	 1.800000 	 0.500000 	 1.700000
17.500000 	 1.800000 	 0.500000 	 1.700000
16.500000 	 1.800000 	 0.500000 	 1.700000
15.500000 	 1.800000 	 0.500000 	 1.700000
14.500000 	 1.800000 	 0.500000 	 1.700000
13.500000 	 1.800000 	 0.500000 	 1.700000
12.500000 	 1.800000 	 0.500000 	 1.700000
11.500000 	 1.800000 	 0.500000 	 1.700000
10.500000 	 1.800000 	 0.500000 	 1.700000
9.500000 	 1.800000 	 0.500000 	 1.700000
8.500000 	 1.800000 	 0.500000 	 1.700000
7.500000 	 1.800000 	 0.500000 	 1.700000
6.500000 	 1.800000 	 0.500000 	 1.700000
5.500000 	 1.800000 	 0.500000 	 1.700000
4.500000 	 1.800000 	 0.500000 	 1.700000
3.500000 	 1.800000 	 0.500000 	 1.700000
2.500000 	 1.800000 	 0.500000 	 1.700000
1.500000 	 1.800000 	 0.500000 	 1.700000
0.500000 	 1.800000 	 0.500000 	 1.700000
-0.500000 	 1.800000 	 0.500000 	 1.700000
-1.500000 	 1.800000 	 0.500000 	 1.700000
-2.500000 	 1.800000 	 0.500000 	 1.700000
-3.500000 	 1.800000 	 0.500000 	 1.700000
-4.500000 	 1.800000 	 0.500000 	 1.700000
-5.500000 	 1.800000 	 0.500000 	 1.700000
-6.500000 	 1.800000 	 0.500000 	 1.700000
-7.500000 	 1.800000 	 0.500000 	 1.700000
-8.500000 	 1.800000 	 0.500000 	 1.700000
-9.500000 	 1.800000 	 0.500000 	 1.700000
-10.500000 	 1.800000 	 0.500000 	 1.700000
-11.500000 	 1.800000 	 0.500000 	 1.700000
-12.500000 	 1.800000 	 0.500000 	 1.700000
-13.500000 	 1.800000 	 0.500000 	 1.700000
-14.500000 	 1.800000 	 0.500000 	 1.700000
-15.500000 	 1.800000 	 0.500000 	 1.700000
-16.500000 	 1.800000 	 0.500000 	 1.700000
-17.500000 	 1.800000 	 0.500000 	 1.700000
-18.500000 	 1.800000 	 0.500000 	 1.700000
-19.500000 	 1.800000 	 0.500000 	 1.700000
-20.500000 	 1.800000 	 0.500000 	 1.700000
-21.500000 	 1.800000 	 0.500000 	 1.700000
-22.500000 	 1.800000 	 0.500000 	 1.700000
-23.500000 	 1.800000 	 0.500000 	 1.700000
-24.500000 	 1.800000 	 0.500000 	 1.700000
-25.500000 	 1.800000 	 0.500000 	 1.700000
-26.500000 	 1.800000 	 0.500000 	 1.700000
-27.500000 	 1.800000 	 0.500000 	 1.700000
-28.500000 	 1.800000 	 0.500000 	 1.700000
-29.500000 	 1.800000 	 0.500000 	 1.700000
-30.500000 	 1.800000 	 0.500000 	 1.700000
-31.500000 	 1.800000 	 0.500000 	 1.700000
-32.500000 	 1.800000 	 0.500000 	 1.700000
-33.500000 	 1.800000 	 0.500000 	 1.700000
-34.500000 	 1.800000 	 0.500000 	 1.700000
-35.500000 	 1.800000 	 0.500000 	 1.700000
-36.500000 	 1.800000 	 0.500000 	 1.700000
-37.500000 	 1.800000 	 0.500000 	 1.700000
-38.500000 	 1.800000 	 0.500000 	 1.700000
-39.500000 	 1.800000 	 0.500000 	 1.700000
-40.500000 	 1.800000 	 0.500000 	 1.700000
-41.500000 	 1.800000 	 0.500000 	 1.700000
-42.500000 	 1.800000 	 0.500000 	 1.700000
-43.500000 	 1.800000 	 0.500000 	 1.700000
-44.500000 	 1.800000 	 0.500000 	 1.700000
-45.500000 	 1.800000 	 0.500000 	 1.700000
-46.500000 	 1.800000 	 0.500000 	 1.700000
-47.500000 	 1.800000 	 0.500000 	 1.700000
-48.500000 	 1.800000 	 0.500000 	 1.700000
-49.500000 	 1.800000 	 0.500000 	 1.700000
-50.500000 	 1.800000 	 0.500000 	 1.700000
-51.500000 	 1.800000 	 0.500000 	 1.700000
-52.500000 	 1.800000 	 0.500000 	 1.700000
-53.500000 	 1.800000 	 0.500000 	 1.700000
-54.500000 	 1.800000 	 0.500000 	 1.700000
-55.500000 	 1.800000 	 0.500000 	 1.700000
-56.500000 	 1.800000 	 0.500000 	 1.700000
-57.500000 	 1.800000 	 0.500000 	 1.700000
-58.500000 	 1.800000 	 0.500000 	 1.700000
-59.500000 	 1.800000 	 0.500000 	 1.700000
-60.500000 	 1.800000 	 0.500000 	 1.700000
-61.500000 	 1.800000 	 0.500000 	 1.700000
-62.500000 	 1.800000 	 0.500000 	 1.700000
-63.500000 	 1.800000 	 0.500000 	 1.700000
-64.500000 	 1.800000 	 0.500000 	 1.700000
-65.500000 	 1.800000 	 0.500000 	 1.700000
-66.500000 	 1.800000 	 0.500000 	 1.700000
-67.500000 	 1.800000 	 0.500000 	 1.700000
-68.500000 	 1.800000 	 0.500000 	 1.700000
-69.500000 	 1.800000 	 0.500000 	 1.700000
-70.500000 	 1.800000 	 0.500000 	 1.700000
-71.500000 	 1.800000 	 0.500000 	 1.700000
-72.500000 	 1.800000 	 0.500000 	 1.700000
-73.500000 	 1.800000 	 0.500000 	 1.700000
-74.500000 	 1.800000 	 0.500000 	 1.700000
-75.500000 	 1.800000 	 0.500000 	 1.700000
-76.500000 	 1.800000 	 0.500000 	 1.700000
-77.500000 	 1.800000 	 0.500000 	 1.700000
-78.500000 	 1.800000 	 0.500000 	 1.700000
-79.500000 	 1.800000 	 0.500000 	 1.700000
-80.500000 	 1.800000 	 0.500000 	 1.700000
-81.500000 	 1.800000 	 0.500000 	 1.700000
-82.500000 	 1.800000 	 0.500000 	 1.700000
-83.500000 	 1.800000 	 0.500000 	 1.700000
-84.500000 	 1.800000 	 0.500000 	 1.700000
-85.500000 	 1.800000 	 0.500000 	 1.700000
-86.500000 	 1.800000 	 0.500000 	 1.700000
-87.500000 	 1.800000 	 0.500000 	 1.700000
-88.500000 	 1.800000 	 0.500000 	 1.700000
-89.500000 	 1.800000 	 0.500000 	 1.700000
-90.500000 	 1.800000 	 0.500000 	 1.700000
-91.500000 	 1.800000 	 0.500000 	 1.700000
-92.500000 	 1.800000 	 0.500000 	 1.700000
-93.500000 	 1.800000 	 0.500000 	 1.700000
-94.500000 	 1.800000 	 0.500000 	 1.700000
-95.500000 	 1.800000 	 0.500000 	 1.700000
-96.500000 	 1.800000 	 0.500000 	 1.700000
-97.500000 	 1.800000 	 0.500000 	 1.700000
-98.500000 	 1.800000 	 0.500000 	 1.700000
-99.500000 	 1.800000 	 0.500000 	 1.700000
-100.500000 	 1.800000 	 0.500000 	 1.700000
-101.500000 	 1.800000 	 0.500000 	 1.700000
-102.500000 	 1.800000 	 0.500000 	 1.700000
-103.500000 	 1.800000 	 0.500000 	 1.700000
-104.500000 	 1.800000 	 0.500000 	 1.700000
-105.500000 	 1.800000 	 0.500000 	 1.700000
-106.500000 	 1.800000 	 0.500000 	 1.700000
-107.500000 	 1.800000 	 0.500000 	 1.700000
-108.500000 	 1.800000 	 0.500000 	 1.700000
-109.500000 	 1.800000 	 0.500000 	 1.700000
-110.500000 	 1.800000 	 0.500000 	 1.700000
-111.500000 	 1.800000 	 0.500000 	 1.700000
-112.500000 	 1.800000 	 0.500000 	 1.700000
-113.500000 	 1.800000 	 0.500000 	 1.700000
-114.500000 	 1.800000 	 0.500000 	 1.700000
-115.500000 	 1.800000 	 0.500000 	 1.700000
-116.500000 	 1.800000 	 0.500000 	 1.700000
-117.500000 	 1.800000 	 0.500000 	 1.700000
-118.500000 	 1.800000 	 0.500000 	 1.700000
-119.500000 	 1.800000 	 0.500000 	 1.700000
-120.500000 	 1.800000 	 0.500000 	 1.700000
-121.500000 	 1.800000 	 0.500000 	 1.700000
-122.500000 	 1.800000 	 0.500000 	 1.700000
-123.500000 	 1.800000 	 0.500000 	 1.700000
-124.500000 	 1.800000 	 0.500000 	 1.700000
-125.500000 	 1.800000 	 0.500000 	 1.700000
-126.500000 	 1.800000 	 0.500000 	 1.700000
-127.500000 	 1.800000 	 0.500000 	 1.700000
-128.500000 	 1.800000 	 0.500000 	 1.700000
-129.500000 	 1.800000 	 0.500000 	 1.700000
-130.500000 	 1.800000 	 0.500000 	 1.700000
-131.500000 	 1.800000 	 0.500000 	 1.700000
-132.500000 	 1.800000 	 0.500000 	 1.700000
-133.500000 	 1.800000 	 0.500000 	 1.700000
-134.500000 	 1.800000 	 0.500000 	 1.700000
-135.500000 	 1.800000 	 0.500000 	 1.700000
-136.500000 	 1.800000 	 0.500000 	 1.700000
-137.500000 	 1.800000 	 0.500000 	 1.700000
-138.500000 	 1.800000 	 0.500000 	 1.700000
-139.500000 	 1.800000 	 0.500000 	 1.700000
-140.500000 	 1.800000 	 0.500000 	 1.700000
-141.500000 	 1.800000 	 0.500000 	 1.700000
-142.500000 	 1.800000 	 0.500000 	 1.700000
-143.500000 	 1.800000 	 0.500000 	 1.700000
-144.500000 	 1.800000 	 0.500000 	 1.700000
-145.500000 	 1.800000 	 0.500000 	 1.700000
-146.500000 	 1.800000 	 0.500000 	 1.700000
-147.500000 	 1.800000 	 0.500000 	 1.700000
-148.500000 	 1.800000 	 0.500000 	 1.700000
-149.500000 	 1.800000 	 0.500000 	 1.700000
-150.500000 	 1.800000 	 0.500000 	 1.700000
-151.500000 	 1.800000 	 0.500000 	 1.700000
-152.500000 	 1.800000 	 0.500000 	 1.700000
-153.500000 	 1.800000 	 0.500000 	 1.700000
-154.500000 	 1.800000 	 0.500000 	 1.700000
-155.500000 	 1.800000 	 0.500000 	 1.700000
-156.500000 	 1.800000 	 0.500000 	 1.700000
-157.500000 	 1.800000 	 0.500000 	 1.700000
-158.500000 	 1.800000 	 0.500000 	 1.700000
-159.500000 	 1.800000 	 0.500000 	 1.700000
-160.500000 	 1.800000 	 0.500000 	 1.700000
-161.500000 	 1.800000 	 0.500000 	 1.700000
-162.500000 	 1.800000 	 0.500000 	 1.700000
-163.500000 	 1.800000 	 0.500000 	 1.700000
-164.500000 	 1.800000 	 0.500000 	 1.700000
-165.500000 	 1.800000 	 0.500000 	 1.700000
-166.500000 	 1.800000 	 0.500000 	 1.700000
-167.500000 	 1.800000 	 0.500000 	 1.700000
-168.500000 	 1.800000 	 0.500000 	 1.700000
-169.500000 	 1.800000 	 0.500000 	 1.700000
-170.500000 	 1.800000 	 0.500000 	 1.700000
-171.500000 	 1.800000 	 0.500000 	 1.700000
-172.500000 	 1.800000 	 0.500000 	 1.700000
-173.500000 	 1.800000 	 0.500000 	 1.700000
-174.500000 	 1.800000 	 0.500000 	 1.700000
-175.500000 	 1.800000 	 0.500000 	 1.700000
-176.500000 	 1.800000 	 0.500000 	 1.700000
-177.500000 	 1.800000 	 0.500000 	 1.700000
-178.500000 	 1.800000 	 0.500000 	 1.700000
-179.500000 	 1.800000 	 0.500000 	 1.700000
-180.500000 	 1.800000 	 0.500000 	 1.700000
-181.500000 	 1.800000 	 0.500000 	 1.700000
-182.500000 	 1.800000 	 0.500000 	 1.700000
-183.500000 	 1.800000 	 0.500000 	 1.700000
-184.500000 	 1.800000 	 0.500000 	 1.700000
-185.500000 	 1.800000 	 0.500000 	 1.700000
-186.500000 	 1.800000 	 0.500000 	 1.700000
-187.500000 	 1.800000 	 0.500000 	 1.700000
-188.500000 	 1.800000 	 0.500000 	 1.700000
-189.500000 	 1.800000 	 0.500000 	 1.700000
-190.500000 	 1.800000 	 0.500000 	 1.700000
-191.500000 	 1.800000 	 0.500000 	 1.700000
-192.500000 	 1.800000 	 0.500000 	 1.700000
-193.500000 	 1.800000 	 0.500000 	 1.700000
-194.500000 	 1.800000 	 0.500000 	 1.700000
-195.500000 	 1.800000 	 0.500000 	 1.700000
-196.500000 	 1.800000 	 0.500000 	 1.700000
-197.500000 	 1.800000 	 0.500000 	 1.700000
-198.500000 	 1.800000 	 0.500000 	 1.700000
-199.500000 	 1.800000 	 0.500000 	 1.700000
-200.500000 	 1.800000 	 0.500000 	 1.700000
-201.500000 	 1.800000 	 0.500000 	 1.700000
-202.500000 	 1.800000 	 0.500000 	 1.700000
-203.500000 	 1.800000 	 0.500000 	 1.700000
-204.500000 	 1.800000 	 0.500000 	 1.700000
-205.500000 	 1.800000 	 0.500000 	 1.700000
-206.500000 	 1.800000 	 0.500000 	 1.700000
-207.500000 	 1.800000 	 0.500000 	 1.700000
-208.500000 	 1.800000 	 0.500000 	 1.700000
-209.500000 	 1.800000 	 0.500000 	 1.700000
-210.500000 	 1.800000 	 0.500000 	 1.700000
-211.500000 	 1.800000 	 0.500000 	 1.700000
-212.500000 	 1.800000 	 0.500000 	 1.700000
-213.500000 	 1.800000 	 0.500000 	 1.700000
-214.500000 	 1.800000 	 0.500000 	 1.700000
-215.500000 	 1.800000 	 0.500000 	 1.700000
-216.500000 	 1.800000 	 0.500000 	 1.700000
-217.500000 	 1.800000 	 0.500000 	 1.700000
-218.500000 	 1.800000 	 0.500000 	 1.700000
-219.500000 	 1.800000 	 0.500000 	 1.700000
-220.500000 	 1.800000 	 0.500000 	 1.700000
-221.500000 	 1.800000 	 0.500000 	 1.700000
-222.500000 	 1.800000 	 0.500000 	 1.700000
-223.500000 	 1.800000 	 0.500000 	 1.700000
-224.500000 	 1.800000 	 0.500000 	 1.700000
-225.500000 	 1.800000 	 0.500000 	 1.700000
-226.500000 	 1.800000 	 0.500000 	 1.700000
-227.500000 	 1.800000 	 0.500000 	 1.700000
-228.500000 	 1.800000 	 0.500000 	 1.700000
-229.500000 	 1.800000 	 0.500000 	 1.700000
-230.500000 	 1.800000 	 0.500000 	 1.700000
-231.500000 	 1.800000 	 0.500000 	 1.700000
-232.500000 	 1.800000 	 0.500000 	 1.700000
-233.500000 	 1.800000 	 0.500000 	 1.700000
-234.500000 	 1.800000 	 0.500000 	 1.700000
-235.500000 	 1.800000 	 0.500000 	 1.700000
-236.500000 	 1.800000 	 0.500000 	 1.700000
-237.500000 	 1.800000 	 0.500000 	 1.700000
